"Username","CreatedAt","TweetUrl"
"elonmusk","2025/06/22 14:51:55","https://twitter.com/elonmusk/status/1936663418456732069"
"elonmusk","2025/06/22 12:59:53","https://twitter.com/elonmusk/status/1936635224924062202"
"elonmusk","2025/06/22 12:59:03","https://twitter.com/elonmusk/status/1936635017813528833"
"elonmusk","2025/06/22 12:58:54","https://twitter.com/elonmusk/status/1936634979930546626"
"elonmusk","2025/06/22 12:44:10","https://twitter.com/elonmusk/status/1936631270848725308"
"elonmusk","2025/06/22 08:47:26","https://twitter.com/elonmusk/status/1936571693746753674"
"elonmusk","2025/06/22 07:13:53","https://twitter.com/elonmusk/status/1936548151370056073"
"elonmusk","2025/06/22 07:09:13","https://twitter.com/elonmusk/status/1936546978248450258"
"elonmusk","2025/06/22 06:15:36","https://twitter.com/elonmusk/status/1936533484195156247"
"elonmusk","2025/06/22 05:39:35","https://twitter.com/elonmusk/status/1936524422283935938"
